ROUTINES,,,,,,,,
Name,Type,MEMORY,CPU,Cost,Availability,Legality,Effect,Description
2- Rabid Racoon 42,INTERNAL CYBER ATTACK,2,1,850000,UNIQUE,Classified,"When using Rabid Racoon 42 to perform a CYBER ATTACK against an INTERNAL NETWORK, the SYSTEM damage gains the ONG tag. When the ONG damage deals SYSTEM damage every NODE OWNER on the network gain the ONG AILMENT for an equivalent amount of MORALE damage.",
3- Rabid Racoon 42,CORE CYBER ATTACK,2,1,850000,UNIQUE,Classified,"When using Rabid Racoon 42 to perform a CYBER ATTACK against a CORE NETWORK, the SYSTEM damage gains the ONG tag. If the ONG damage deals SYSTEM damage every NODE owner on the network gain the ONG AILMENT for double the amount of MORALE damage.",
1- Nul Protocol,EXTERNAL CYBER ATTACK,2,2,1800000,UNIQUE,Classified,"When using Nul Protocol to perform a CYBER ATTACK against an EXTERNAL NETWORK, if the attack deals enough SYSTEM damage to reduce the layer to 0 the HOST NODE owner suffer a MENTAL TRAUMA.",An highly illegal piece of code that was stollen in the tronik wars
2- Nul Protocol,INTERNAL CYBER ATTACK,2,2,1800000,UNIQUE,Classified,"When using Nul Protocol to perform a CYBER ATTACK against an INTERNAL NETWORK, if the attack deals enough SYSTEM damage to reduce the layer to 0 all NODE owners suffer a MENTAL TRAUMA.",
3- Nul Protocol,CORE CYBER ATTACK,2,2,1800000,UNIQUE,Classified,"When using Nul Protocol to perform a CYBER ATTACK against a CORE NETWORK, if the attack deals enough SYSTEM damage to reduce the layer to 0 all NODE owners DIE.",
1- Code Injection, EXTERNAL DISRUPT,1,1,8000,COMMON,Restricted,"When using Code Injection to perform a DISRUPT against an EXTERNAL NETWORK, the target suffer a SMALL penalty to all skills and you also steal the benefits of an active ROUTINE (defender's choice) for yourself until next maintenance.",Deep DISRUPT designed to redirect routines.
2- Code Injection,INTERNAL DISRUPT,1,1,8000,COMMON,Restricted,"When using Code Injection to perform a DISRUPT against anINTERNAL NETWORK, all network users suffer a SMALL penalty to all skills and you also steal the benefits of all of the active ROUTINES for yourself until next maintenance.",
3- Code Injection,CORE DISRUPT,1,1,8000,COMMON,Restricted,"When using Code Injection to perform a DISRUPT against a CORE NETWORK, all targets suffer a LARGE penalty to all skills and you steal the benefits of all of their ROUTINES (active or not) to your NETWORK until next maintenance.",
1- Spam, EXTERNAL DISRUPT,1,1,10000,UNCOMMON,Restricted,"When using Spam to perform a DISRUPT against an EXTERNAL NETWORK, the SMALL penalty to all skills from a successful DISRUPT is now an AILMENT on the target and will last until it is saved during MAINTENANCE.",A DISRUPT program that messes with its users by bothering them at the worst possible times.
2- Spam,INTERNAL DISRUPT,1,1,10000,UNCOMMON,Restricted,"When using Spam to perform a DISRUPT against an INTERNAL NETWORK, the SMALL penalty to all skills from a successful DISRUPT is now an AILMENT on all network users and will last until it is saved during MAINTENANCE.",
3- Spam,CORE DISRUPT,1,1,10000,UNCOMMON,Restricted,"When using Spam to perform a DISRUPT against a CORE NETWORK, the SMALL penalty to all skills from a successful DISRUPT is now permanent on this NETWORK. Network will have to be recreated to remove it.",
1- Nerf This!, EXTERNAL DISRUPT,1,1,50000,RARE,Illegal,"When using Nerf This! to perform a DISRUPT against an EXTERNAL NETWORK, all network users have their EXPERTISE reduced by 3 until next maintenance.",A program designed to mess with the maintenance and ease of use of technology
2- Nerf This!,INTERNAL DISRUPT,1,1,50000,RARE,Illegal,"When using Nerf This! to perform a DISRUPT against an INTERNAL NETWORK, all network users have their EXPERTISE set to -3 until next maintenance.",
3- Nerf This!,CORE DISRUPT,1,1,50000,RARE,Illegal,"When using Nerf This! to perform a DISRUPT against a CORE NETWORK, all network users now have their EXPERTISE set to a negative value equal to your mitigated CYBER ATTACK result until next maintenance.",
1- Decalibrate, EXTERNAL DISRUPT,1,1,130000,RARE,Illegal,"When using Decalibrate to perform a DISRUPT against an EXTERNAL NETWORK, the target also has a CRITICAL FAILLURE increase by 1 for all skills or by 3 to a single skill if you used the specific skill version of DISRUPT. ",A specialised version of DISRUPT designed to sabotage equipment
2- Decalibrate,INTERNAL DISRUPT,1,1,130000,RARE,Illegal,"When using Decalibrate to perform a DISRUPT against an INTERNAL NETWORK, you now affect all network USERS, their CRITICAL FAILLURE increase by 1 for all skills or by 3 to a single skill if you used the specific skill version of DISRUPT. ",
3- Decalibrate,CORE DISRUPT,1,1,130000,RARE,Illegal,"When using Decalibrate to perform a DISRUPT against a CORE NETWORK, all network users gain a LARGE penalty to all skills and a +3 to CRITICAL FAILLURE.",
1- Gag order, EXTERNAL DISRUPT,2,2,340000,LIMITED,Illegal,"When using Gag Order to perform a DISRUPT against an EXTERNAL NETWORK, you disable enemy network communications. Everyone on the NETWORK now function as individual NODES and cannot access each others MEMORY.","When the user speaks through his communication devices, nothing is really audible"
2- Gag order,INTERNAL DISRUPT,2,2,340000,LIMITED,Illegal,"When using Gag Order to perform a DISRUPT against an INTERNAL NETWORK, you reduce the range of all ROUTINES, TEK WEAPONS, PROGRAMS or GADGETS of that network to Short range only.",
3- Gag order,CORE DISRUPT,2,2,340000,LIMITED,Illegal,"When using Gag Order to perform a DISRUPT against a CORE NETWORK, you remove the range of all ROUTINES, TEK WEAPONS, PROGRAMS or GADGETS of that network to Melee range only.",
1- Master Key,EXTERNAL LOCK-ON,1,1,70000,RARE,Restricted,"When using Master Key to perform a LOCK-ON against an EXTERNAL NETWORK, you run master key as a BURST action (roll twice pick best result)",Superior LOCK-ON software that can attach to entire networks.
2- Master Key,INTERNAL LOCK-ON,1,1,70000,RARE,Restricted,"When using Master Key to perform a LOCK-ON against an INTERNAL NETWORK, you can run master key as a FULL AUTO action that requires a COMPLEX action but EXPERTISE value now grants additional LOCK-ON targets.",
3- Master Key,CORE LOCK-ON,1,1,70000,RARE,Restricted,"When using Master Key to perform a LOCK-ON against a CORE NETWORKS, master key grants automatic LOCK-ON against all network NODES and DEVICES.",
1- Publix Edumacation, EXTERNAL SCAN,1,1,10000,UNCOMMON,Restricted,"When using Publix Edumacation to perform a SCAN against an EXTERNAL NETWORK, your SCAN action can now identify ROUTINES (one MEMORY per mitigated success). ",SCAN and tamper with a Skillsoft to provide bad information and mess with the user's skills.
2- Publix Edumacation,INTERNAL SCAN,1,1,10000,UNCOMMON,Restricted,"When using Publix Edumacation to perform a SCAN against an INTERNAL NETWORK, your SCAN action identifies all ROUTINES on the NETWORK; you can now reverse (when applicable) one ROUTINE of your choice per mitigated success until the next maintenance.",
3- Publix Edumacation,CORE SCAN,1,1,10000,UNCOMMON,Restricted,"When using Publix Edumacation to perform a SCAN against a CORE NETWORK, your SCAN action identifies all ROUTINES on the NETWORK; you can now reverse (when applicable) one ROUTINE of your choice per mitigated success until the next maintenance. Anyone that deactivates a reversed ROUTINE suffers a guaranteed MORALE TRAUMA.",
1- Data dump, EXTERNAL SCAN,1,1,5000,COMMON,No Permit,"When using Data Dump to perform a SCAN against an EXTERNAL NETWORK, you can now run the SCAN as a COMPLEX action to apply your DATACOM's EXPERTISE to the amount of MEMORY stolen.",Steals data from a network
2- Data dump,INTERNAL SCAN,1,1,5000,COMMON,No Permit,"When using Data Dump to perform a SCAN against an INTERNAL NETWORK, You are now able to use SCAN as a COMPLEX action with the FULL AUTO rules. Every successful FULL AUTO hit, lets you steal the entire SCAN memory value. As the attacker, you get to decide how to divide up the hits among the targets on the network or use them all on a single target.",
3- Data dump,CORE SCAN,1,1,5000,COMMON,No Permit,"When using Data Dump to perform a SCAN against a CORE NETWORK, you are now able to use SCAN as a COMPLEX action with the FULL AUTO rules, this action is an automatic CRITICAL SUCCESS. Every FULL AUTO hit, lets you steal the entire SCAN memory value. As the attacker, you get to decide how to divide up the hits among the targets on the network or use them all on a single target.",
1- Thermites, EXTERNAL SCAN,1,1,60000,RARE,Illegal,"When using Thermites to perform a SCAN against an EXTERNAL NETWORK, you also apply the VULNERABILITY 1 AILMENT against SYSTEM damage.",SCAN for enemy network weaknesses.
2- Thermites,INTERNAL SCAN,1,1,60000,RARE,Illegal,"When using Thermites to perform a SCAN against an INTERNAL NETWORK, you also apply the VULNERABILITY 1 AILMENT against ALL damage to every NODE OWNERS.",
3- Thermites,CORE SCAN,1,1,60000,RARE,Illegal,"When using Thermites to perform a SCAN against a CORE NETWORK, you also apply a VULNERABILITY to ALL damage AILMENT equal to your mitigated SCAN success to every NODE OWNERS.",
1- Proxymus, EXTERNAL SCAN,1,2,400000,LIMITED,Illegal,"When using  Proxymus to perform a SCAN action against an EXTERNAL NETWORK, you can forego the normal SCAN result to instead redirrect the next HACKING, CYBERINTEL or OPERATOR action to an ally of your choice.",a SCAN that allows you to intercept and filter the actions of an enemy NETWORK.
2- Proxymus,INTERNAL SCAN,1,2,400000,LIMITED,Illegal,"When using  Proxymus to perform a SCAN action against an INTERNAL NETWORK, you can forego the normal SCAN result to instead redirrect all HACKING, CYBERINTEL or OPERATOR actions to an ally of your choice until next maintenance.",
3- Proxymus,CORE SCAN,1,2,400000,LIMITED,Illegal,"When using  Proxymus to perform a SCAN action against a CORE NETWORK, you can forego the normal SCAN result to instead redirrect all HACKING, CYBERINTEL or OPERATOR actions to any target of your choice until next maintenance.",
1- Doom,EXTERNAL TRONIK CYBER ATTACK,3,2,1200000,LIMITED,Classified,"When using Doom to perform a CYBER ATTACK against an EXTERNAL NETWORK , the HOST NODE owner loses 1 MORALE for each SYSTEM lost on his network.",
2- Doom,INTERNAL TRONIK CYBER ATTACK,3,2,1200000,LIMITED,Classified,"When using DOOM to perform a CYBER ATTACK against an INTERNAL NETWORK, all NODE owners lose 1 MORALE for each SYSTEM lost on the network. If the INTERNAL NETWORK is reduced to 0 SYSTEM, every NODE owner suffer a MORALE TRAUMA.",
3- Doom,CORE TRONIK CYBER ATTACK,3,2,1200000,LIMITED,Classified,"When using DOOM to perform a CYBER ATTACK against a CORE NETWORK, all NODE owners lose 1 MORALE for each SYSTEM lost on the network. If the INTERNAL NETWORK is reduced to 0 SYSTEM, every NODE owner DIES.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
GADGETS,,,,,,,,
Name,Action,MEMORY,NANITE,Cost,Availability,Legality,Skill Effect,Description
High Powered Communications,COMPLEX,1,1,20000,COMMON,No Permit,As a COMPLEX action your nanites form a planetary range communication array. Until the end of the SCENE your DATACOM maximum range extends to low planetary orbit. Activating this NANITE renders OBFUSCATION impossible and if used for any action other than transfer of information it applies a LARGE penalty.,Greatly boost your Datacom range capabilities
Anti-Theft System,QUICK,1,1,8000,COMMON,No Permit,For the next 10 hours your nanites will prevent theft or access to your datacom and sound an alarm that can be heard at 50m (or silent if configured that way) if breached. Can be used to cover something else than your datacom.,Program your nanites to act as a watchdog
Scouting protocols,SCENE,2,1,20000,COMMON,No permit,Provides you with map data and detailed layout of environments and targets in a 100m radius after a 5 minute SCAN. Nanites do not access restricted environments. Nanites are not concealed and can be destroyed if seen.,"Your nanites will fan out and scout the area, providing intel."
Do you Lift bro?,COMPLEX,1,3,30000,COMMON,No Permit,"Nanites in DATACOM range will carry one EXTRA LARGE item of up to 100 KG for a SCENE or help move a HUGE item of up to 500 pounds (Gain a LARGE bonus to PHYSICAL skills checks to lift, break, push, pull or hold.)",Your nanites will assist with transport and lifting of objects
Additional Storage,COMPLEX,1,*,30000,COMMON,No Permit,You can reserve a number of nanites to increase MEMORY by that same amount (up to max datacom nanite capacity). Nanites reserved do not recover until released.,Force your nanites to act as additional storage
Hidden surprises,STANDARD,1,2,20000,RARE,Illegal,"Your nanites to form any MELEE weapon up to size medium. Weapon counts as a DRONE, can be used anywhere within datacom range with an OPERATOR roll or you can use it as a normal MELEE weapon with MARTIAL ARTS.",Detailed instructions for your nanites to form a Melee weapon.
Toolkit,COMPLEX,1,1,10000,COMMON,No Permit,Until the end of the SCENE you have the tools required for one specific type of job. The tools are basic but adequate. ,Provides basic tools required for various jobs
Smart Assist,QUICK,1,1,50000,UNCOMMON,Restricted,Add the SMART special capability to a AMMO based weapon in DATACOM range until the end of the SCENE,Adds SMART capabilities to weapons
Shield Link,STANDARD,1,1,50000,UNCOMMON,No Permit,You can spend a number of NANITES to recharge an equivalent amount of FORCEFIELD charges.,Emergency shield reinforcement
Adaptive Reinforcement,STANDARD,1,3,130000,UNCOMMON,No permit,"Your Nanites will form a protective shell granting one target of your choice within DATACOM range one of the following options: HARDENNED, INSULATED, HACKPROOF or SPIRITPROOF,  until the end of the scene.",Adapt defenses using NANITES
Infiltrate,SCENE,2,1,250000,UNCOMMON,Illegal,Provides you with map data and detailed layout of environments and targets in a 100m radius after a 5 minute SCAN. Nanites can access restricted environments. Nanites are concealed (DC 8 to PERCEPTION or SCAN them) and can be destroyed if seen.,"Your nanites will fan out and covertly scout the area, providing detailed intel."
Parachute,QUICK,1,2,30000,UNCOMMON,No Permit,When activated your nanites can slow down the fall of any person or item in DATACOM range enabling a safe landing. Max size is HUGE and max weight is 200KG.,Nanites can be triggered to slow down and break falls
Meshed Systems,STANDARD,1,*,20000,UNCOMMON,No Permit,When active you can spend any number of nanites to recover an equal amount of SYSTEM points to any layer of your network that is above 0 SYSTEM.,Program your nanites to act as hacking decoys.
Rogue Bane,COMPLEX,1,1,30000,UNCOMMON,Illegal,"Set a trigger condition within DATACOM range and pay the NANITE cost, until the end of the SCENE, if that condition is met, your nanites trigger and deal [MEDIUM] 5D + 4 ENERGY HEALTH damage in a 5m radius.",Program your nanites to act as a landmine
Charging ports,QUICK,1,1,10000,UNCOMMON,No Permit,"Instantly recharge an Energy weapon, or provide power to a personal devices in use by a NETWORK user.",Your nanites will assist with the recharge rate of energy weapons and devices.
Armor-UP,QUICK,1,1,30000,UNCOMMON,Restricted,One target of your choice within DATACOM range has a DEFENSE of your choice raised to EXTREME until the next maintenance.,Order your nanites to protect someone or something
Deep scanner,COMPLEX,1,1,30000,UNCOMMON,Restricted,Adds a LARGE bonus to any skill check that need detailed information on a specific object.,Order your nanites to perform a deep scan or a target or item.
Ghost Control Module,COMPLEX,1,2,10000,UNCOMMON,No Permit,Order your NANITES to manage one DRONE under your control. Until the end of the SCENE one drone no longer cost CPU to perform its basic actions.,Your nanites will take over management of a drone.
Nanocable,STANDARD,1,1,20000,UNCOMMON,Illegal,Your NANITES create a thin (1HP) invible wire (Concealment 5 TYPE I and II) you can throw to attack to technological devices. If you hit the target with a DEXTERITY skill check you are directly connected to the target device (Bypass External Network). Range is 1/3/5m.,Your nanites can be aimed at a target to form a direct hacking link.
Workshop,SCENE,2,3,80000,UNCOMMON,No Permit,Until the end of the scene you have advanced tools required for one specific type of job. The tools provide the same functionality as being in a workshop.,Provide extensive tools and devices required for complex jobs
Etheral Knives,QUICK,1,1,90000,RARE,Restricted,Your NANITES create 5 MONOMOLECULAR Throwing Knives or Shirukens. The weapons can be thrown with DEXTERITY checks and disappear after being thrown.,Generate some throwing weapons out of raw nanites
A.M.M.O,STANDARD,1,2*,20000,UNCOMMON,No Permit,"Your NANITES replaces the AMMO of the next S,M or L magazine in an AMMO based weapon on the NETWORK. Your free AMMO will last until the magazine is empty or the SCENE ends. *Nanite cost is doubled for HEAVY AMMO.",You can order your nanites to form any type of munitions.
Shelter,COMPLEX,1,1,10000,UNCOMMON,No Permit,"Your nanites will form a rudimentary shelter, blocking elements and shielding you from the worst of conditions. For the next hour you are considered to have the INNOCULATION special modifier (protects against non lethal environmental hazards. Gain a LARGE bonus to skills rolls against lethal environmental hazards and ailments.",Provides protection from the environment.
Kill switch,QUICK,1,1,30000,RARE,Illegal,"Your NANITES are now capable of deleting any incriminating evidence on your datacom, or themselves. The trigger can be anything you pick. ",Give a command to your nanites to wipe clean your datacom of all data.
The IGOR special,STANDARD,1,2,120000,RARE,Illegal,You command your nanites to turn an allied DATACOM or DRONE within your NETWORK into a 10m radius smart bomb that deals [HIGH] 8D + 4 ENERGY HEALTH damage. (DATACOM is destroyed after use),Command your nanites to overload a device turning it into a powerful bomb.
Rip to Shreds,FREE,1,1,110000,RARE,Illegal,As a FREE ACTION you can spend 1 NANITE so that a CYBER ATTACK deal TECH HEALTH damage against a target equal to the SYSTEM damage being dealt.,Order your nanites to attack a target.
Triage,STANDARD,1,1,140000,RARE,No Permit,When used alongside a LEADERSHIP skill check you recover the MORALE or HEALTH of an allied target within DATACOM RANGE by X. ,Program your nanites to provide emergency mental therapy to a target.
Opticloak,STANDARD,2,3,140000,LIMITED,Restricted,Grants passive CONCEALMENT of 6 when not moving and a LARGE bonus to CONCEALMENT when moving. Opticloak ends if you take any damage or after a SCENE,Nanites will distort light coming at you granting you insibility.
Tachyon communications,SCENE,1,2,600000,LIMITED,Restricted,Until the end of the SCENE you have access to a Tachyon communication array: Maximum range is increased to inter-planetary but receiving device must be a tachyon device as well. This additional range cannot be used for anything combat related. ,Nanites will form a Tachyon antenna
